station,station_name,valid(UTC),tmpf,dwpf,sknt,drct,vis1_coeff,precip
DEN,DENVER INTNL ARPT,2015-01-01 00:00,15,6,4,83,0.168,0,
DFW,DALLAS/FT WORTH,2015-01-01 00:00,33,23,10,21,0.115,0,
ATL,ATLANTA INTL ARPT,2015-01-01 00:00,42,33,6,328,0.146,0,
ORD,CHICAGO O HARE,2015-01-01 00:00,17,1,13,237,0.079,0,
LAX,LOS ANGELES INTL,2015-01-01 00:00,54,7,12,349,0.097,0,
DFW,DALLAS/FT WORTH,2015-01-01 01:00,33,23,9,24,0.117,0,
ATL,ATLANTA INTL ARPT,2015-01-01 01:00,41,33,6,329,0.17,0,
DEN,DENVER INTNL ARPT,2015-01-01 01:00,12,-2,6,134,0.098,0,
LAX,LOS ANGELES INTL,2015-01-01 01:00,52,14,12,308,0.093,0,
ORD,CHICAGO O HARE,2015-01-01 01:00,18,1,13,235,0.083,0,
ATL,ATLANTA INTL ARPT,2015-01-01 02:00,40,33,4,326,0.177,0,
DFW,DALLAS/FT WORTH,2015-01-01 02:00,34,23,7,1,0.118,0,
LAX,LOS ANGELES INTL,2015-01-01 02:00,51,16,8,317,0.097,0,
ORD,CHICAGO O HARE,2015-01-01 02:00,18,2,14,245,0.078,0,
DEN,DENVER INTNL ARPT,2015-01-01 02:00,7,-7,9,149,0.088,0,
ATL,ATLANTA INTL ARPT,2015-01-01 03:00,40,31,3,339,0.158,0,
ORD,CHICAGO O HARE,2015-01-01 03:00,18,2,16,242,0.075,0,
DEN,DENVER INTNL ARPT,2015-01-01 03:00,9,-11,12,165,0.065,0,
DEN,DENVER INTNL ARPT,2015-01-01 04:00,11,-9,12,180,0.061,0,
ATL,ATLANTA INTL ARPT,2015-01-01 04:00,37,30,4,329,0.163,0,
ATL,ATLANTA INTL ARPT,2015-01-01 05:00,37,30,7,313,0.173,0,
ORD,CHICAGO O HARE,2015-01-01 06:00,17,2,15,241,0.081,0,
DFW,DALLAS/FT WORTH,2015-01-01 06:00,34,23,7,23,0.124,0,
ATL,ATLANTA INTL ARPT,2015-01-01 06:00,36,29,4,314,0.189,0,
ORD,CHICAGO O HARE,2015-01-01 07:00,16,3,8,248,0.081,0,
ATL,ATLANTA INTL ARPT,2015-01-01 07:00,36,29,6,319,0.2,0,
DEN,DENVER INTNL ARPT,2015-01-01 07:00,5,-9,12,171,0.068,0,
DFW,DALLAS/FT WORTH,2015-01-01 07:00,34,23,5,9,0.118,0,
ORD,CHICAGO O HARE,2015-01-01 08:00,16,4,12,242,0.083,0,
LAX,LOS ANGELES INTL,2015-01-01 08:00,45,21,1,176,0.19,0,
ATL,ATLANTA INTL ARPT,2015-01-01 08:00,36,27,8,330,0.162,0,
DFW,DALLAS/FT WORTH,2015-01-01 08:00,33,23,6,49,0.124,0,
DEN,DENVER INTNL ARPT,2015-01-01 08:00,8,-8,13,172,0.063,0,
ORD,CHICAGO O HARE,2015-01-01 09:00,16,5,14,251,0.081,0,
DFW,DALLAS/FT WORTH,2015-01-01 09:00,32,25,7,11,0.203,0,
LAX,LOS ANGELES INTL,2015-01-01 09:00,44,20,4,50,0.206,0,
ATL,ATLANTA INTL ARPT,2015-01-01 09:00,34,26,3,297,0.163,0,
DEN,DENVER INTNL ARPT,2015-01-01 09:00,5,-7,7,235,0.064,0,
DEN,DENVER INTNL ARPT,2015-01-01 10:00,10,-7,5,218,0.078,0,
ATL,ATLANTA INTL ARPT,2015-01-01 10:00,34,27,6,334,0.202,0,
DFW,DALLAS/FT WORTH,2015-01-01 10:00,32,26,6,41,0.133,0,
ORD,CHICAGO O HARE,2015-01-01 10:00,15,5,12,246,0.085,0,
LAX,LOS ANGELES INTL,2015-01-01 10:00,39,25,2,109,0.413,0,
LAX,LOS ANGELES INTL,2015-01-01 11:00,38,25,2,89,0.393,0,
DFW,DALLAS/FT WORTH,2015-01-01 11:00,33,25,7,346,0.139,0,
ORD,CHICAGO O HARE,2015-01-01 11:00,14,5,11,241,0.085,0,
ATL,ATLANTA INTL ARPT,2015-01-01 11:00,32,26,4,314,0.196,0,
DEN,DENVER INTNL ARPT,2015-01-01 11:00,9,-6,5,219,0.088,0,
DFW,DALLAS/FT WORTH,2015-01-01 12:00,32,27,6,353,0.233,0,
LAX,LOS ANGELES INTL,2015-01-01 12:00,39,25,5,104,0.218,0,
ORD,CHICAGO O HARE,2015-01-01 12:00,15,5,13,240,0.084,0,
ATL,ATLANTA INTL ARPT,2015-01-01 12:00,32,26,6,308,0.204,0,
DEN,DENVER INTNL ARPT,2015-01-01 12:00,6,-5,9,221,0.081,0,
DEN,DENVER INTNL ARPT,2015-01-01 13:00,6,-3,8,233,0.087,0,
ORD,CHICAGO O HARE,2015-01-01 13:00,15,5,12,242,0.086,0,
DFW,DALLAS/FT WORTH,2015-01-01 13:00,32,28,7,346,0.324,0,
LAX,LOS ANGELES INTL,2015-01-01 13:00,37,25,6,93,0.202,0,
ATL,ATLANTA INTL ARPT,2015-01-01 13:00,32,26,2,297,0.192,0,
DEN,DENVER INTNL ARPT,2015-01-01 14:00,9,0,11,222,0.096,0,
DFW,DALLAS/FT WORTH,2015-01-01 14:00,31,29,6,52,0.881,0.01,
ORD,CHICAGO O HARE,2015-01-01 14:00,16,6,10,241,0.092,0,
ATL,ATLANTA INTL ARPT,2015-01-01 14:00,37,27,1,266,0.154,0,
ORD,CHICAGO O HARE,2015-01-01 15:00,17,6,16,245,0.092,0,
DEN,DENVER INTNL ARPT,2015-01-01 15:00,9,0,8,237,0.096,0,
